inst.name,best.f.min,best.f.mean,total.fes.min,total.fes.max
la26,1232,1252.5,15000,15000
la27,1269,1298.7,15000,15000
la28,1256,1271.9,15000,15000
la29,1233,1264.9,15000,15000
la30,1355,1365.0,15000,15000
la36,1315,1327.1,15000,15000
la37,1447,1481.2,15000,15000
la38,1251,1287.3,15000,15000
la39,1251,1286.8,15000,15000
la40,1252,1271.1,15000,15000
